"sec_idx","security","volatility","volatility_state","symbol","last_price","mu","sigma","iv","strike","option_price","option","position"
215,"HAL US Equity",0.01345337,0,"HAL",31.89,0.156337931958564,0.143538614781958,0.2981,32.5,3.36,"HAL Jan 17 2020 32.5 Call",1
217,"HBI US Equity",0.01789238,0,"HBI",18.8,0.0971376500915882,0.256500959379617,0.33171,20,1.77,"HBI Jan 17 2020 20 Call",1
218,"HCLP US Equity",0.09524839,0,"HCLP",4.25,0.0391522592991076,0.453912231753847,0.91688,4.5,0.9,"HCLP Jan 17 2020 4.5 Call",-1
221,"HIIQ US Equity",0.08462876,0,"HIIQ",41.3,0.581528634637224,0.291647222391009,0.84028,42,9.5,"HIIQ Aug 16 2019 42 Call",1
223,"HOLX US Equity",0.017788636,0,"HOLX",45.765,0.0559202447515661,0.0910304681021641,0.26028,47,2.6,"HOLX Sep 20 2019 47 Call",1
226,"HPQ US Equity",0.015317803,0,"HPQ",23.2,0.180154203030417,0.141805328703522,0.25948,24,1.3,"HPQ Aug 16 2019 24 Call",1
227,"HSBC US Equity",0.009985032,0,"HSBC",42.7923,0.220814058531578,0.941939982568183,0.15144,45,0.81,"HSBC Sep 20 2019 45 Call",1
228,"I US Equity",0.038555548,0,"I",23.3,0.560830954084833,0.627526184643021,1.07305,24,0,"I Sep 20 2019 24 Call",1
233,"IMMU US Equity",0.03524894,0,"IMMU",14.23,0.670667916828232,0.449491617024374,0.71359,15,2.35,"IMMU Aug 16 2019 15 Call",1
234,"INFN US Equity",0.068737954,0,"INFN",4.99,0.170204530518733,0.279729655681535,0.65793,5,1.2,"INFN Jan 17 2020 5 Call",1
235,"ING US Equity",0.026278358,0,"ING",12.4795,0.20586520527748,1.00698221930778,0.2165,15,0.2,"ING Dec 20 2019 15 Call",1
237,"IP US Equity",0.014799611,0,"IP",46.9,0.169293707334468,0.24142763669563,0.23724,47.5,3.71,"IP Jan 17 2020 47.5 Call",1
238,"IQ US Equity",0.030111846,0,"IQ",21.95,0.219370982587883,0.215169486884393,0.54146,22.5,3.6,"IQ Sep 20 2019 22.5 Call",1
242,"ITUB US Equity",0.026760224,0,"ITUB",10.11,0.108489103784253,0.151364091349939,0.50776,11,0.9,"ITUB Sep 20 2019 11 Call",-1
243,"JBL US Equity",0.022165034,0,"JBL",28.55,0.154581525218973,0.206468430622528,0.2701,29,2.21,"JBL Sep 20 2019 29 Call",1
244,"JBLU US Equity",0.023866545,0,"JBLU",18,0.11432725547973,0.162528922360965,0.26584,18,1.6,"JBLU Sep 20 2019 18 Call",1
245,"JCP US Equity",0.29673973,0,"JCP",1.3101,0.671642122849906,1.48471608332565,0.84094,1.5,0.24,"JCP Aug 16 2019 1.5 Call",1
246,"JD US Equity",0.018705837,0,"JD",23.98,0.134850673610791,0.323669942061494,0.4439,24,3.6,"JD Sep 20 2019 24 Call",1
249,"JWN US Equity",0.012952911,0,"JWN",44.44,0.0621799739759955,0.119402204337391,0.35739,45,5.7,"JWN Jan 17 2020 45 Call",1
250,"KBH US Equity",0.025431523,0,"KBH",22.38,0.00372309772505775,0.183012937447242,0.3581,25,2.5,"KBH Jan 17 2020 25 Call",-1
251,"KEY US Equity",0.018016461,0,"KEY",17.5437,0.118959107923539,0.110282840214142,0.23428,18,0.95,"KEY Sep 20 2019 18 Call",1
252,"KGC US Equity",0.067705214,0,"KGC",3.47,0.139913332521294,0.198503637756493,0.42577,3.5,0.31,"KGC Aug 16 2019 3.5 Call",1
253,"KHC US Equity",0.021689055,0,"KHC",48,0.0992828161869488,0.195910585109342,0.22516,50,2.6,"KHC Jan 17 2020 50 Call",1
254,"KKR US Equity",0.018381545,0,"KKR",23.89,0.247378215357777,0.10765187410112,0.27728,24,1.85,"KKR Sep 20 2019 24 Call",1
255,"KMI US Equity",0.018916897,0,"KMI",18.7,0.123512022849689,0.082128032382071,0.20466,19,1.01,"KMI Sep 20 2019 19 Call",1
256,"KNX US Equity",0.01876435,0,"KNX",33.9,0.161399544477396,0.19235917930558,0.4313,35,3.67,"KNX Aug 16 2019 35 Call",1
257,"KO US Equity",0.01015436,0,"KO",45.32,0.131387074955591,0.103851413933101,0.15413,46,1.53,"KO Aug 16 2019 46 Call",1
258,"KR US Equity",0.016322432,0,"KR",29.5,0.0839602296837951,0.104660661753661,0.28471,30,3,"KR Jan 17 2020 30 Call",1
260,"LB US Equity",0.019006507,0,"LB",27.34,0.0963744945753238,0.23666170757686,0.43514,27.5,3.1,"LB Aug 16 2019 27.5 Call",1
261,"LEAF US Equity",0.25441173,0,"LEAF",8.27,0.718880351729268,0.206580400118782,0.39335,9,0,"LEAF Aug 16 2019 9 Call",1
262,"LEN US Equity",0.016742514,0,"LEN",49.07,0.152043957421892,0.146464244942451,0.31545,50,4.06,"LEN Aug 16 2019 50 Call",1
263,"LITE US Equity",0.030731361,0,"LITE",46.1813,0.424534678992506,0.233090972420381,0.51776,47.5,6.45,"LITE Sep 20 2019 47.5 Call",1
264,"LKQ US Equity",0.01867329,0,"LKQ",27.15,0.519680836369817,0.205172120158959,0.30199,27.5,2.3,"LKQ Aug 16 2019 27.5 Call",1
266,"LM US Equity",0.029489607,0,"LM",30.58,0.0527187087373994,0.12802880601947,0.2459,31,2,"LM Aug 16 2019 31 Call",-1
276,"M US Equity",0.016422305,0,"M",24.88,0.168171860326902,0.288538981943264,0.4236,25,2.71,"M Aug 16 2019 25 Call",1
279,"MAT US Equity",0.030258644,0,"MAT",13.85,0.00837185895559629,0.224221291775526,0.50778,15,2.3,"MAT Jan 17 2020 15 Call",1
280,"MBI US Equity",0.040339552,0,"MBI",9.82,0.277774013623883,0.38374249234912,0.36474,10,0.98,"MBI Aug 16 2019 10 Call",1
283,"MDCO US Equity",0.04805218,0,"MDCO",25,0.84181931501016,0.663934321222612,1.00944,25,8.3,"MDCO Jan 17 2020 25 Call",1
284,"MDLZ US Equity",0.013820503,0,"MDLZ",47.76,0.0546303742046211,0.0620718066035324,0.18315,49,2.2,"MDLZ Sep 20 2019 49 Call",1
285,"MDR US Equity",0.047846183,0,"MDR",7.17,0.826916358191138,1.17513179025328,0.69858,8,1.2,"MDR Aug 16 2019 8 Call",1
286,"MDRX US Equity",0.026675865,0,"MDRX",12.21,0.0469992609787926,0.152763185608803,0.44018,13,1.3,"MDRX Sep 20 2019 13 Call",1
288,"MET US Equity",0.012738433,0,"MET",44.8,0.138782825830498,0.0809162817602057,0.24138,45,3.05,"MET Sep 20 2019 45 Call",1
289,"MGM US Equity",0.016178219,0,"MGM",28,0.202341245581589,0.151276147866837,0.31076,29,2.48,"MGM Sep 20 2019 29 Call",1
291,"MLCO US Equity",0.027631678,0,"MLCO",21.69,0.119246462978521,0.260897401131326,0.39093,22,3.3,"MLCO Jan 17 2020 22 Call",1
296,"MO US Equity",0.014910023,0,"MO",48.85,0.162488684155446,0.161018382425572,0.22973,50,2.63,"MO Sep 20 2019 50 Call",1
299,"MRO US Equity",0.021559414,0,"MRO",17.0999,0.226307210625319,0.182329827361007,0.36175,20,1.38,"MRO Jan 17 2020 20 Call",1
300,"MRVL US Equity",0.017635671,0,"MRVL",18.92,0.159310675772235,0.177090354856206,0.33175,19,2.04,"MRVL Aug 16 2019 19 Call",1
301,"MS US Equity",0.010398543,0,"MS",41.89,0.228397359854072,0.131555484189365,0.27536,42,4.05,"MS Jan 17 2020 42 Call",1
303,"MT US Equity",0.020739658,0,"MT",23.08,0.237568275598473,0.781341901594398,0.34887,24,1.68,"MT Sep 20 2019 24 Call",1
305,"MTG US Equity",0.024818249,0,"MTG",13.1,0.205765717050752,0.191620041487612,0.29596,14,0.63,"MTG Sep 20 2019 14 Call",1
306,"MU US Equity",0.013818904,0,"MU",42,0.200837712831509,0.371284063427474,0.45247,42,7.71,"MU Jan 17 2020 42 Call",1
307,"MYL US Equity",0.01577361,0,"MYL",32.22,0.229720980874573,0.178807005167375,0.33084,32.5,0,"MYL Aug 16 2019 32.5 Call",1
308,"NBEV US Equity",0.0724053,0,"NBEV",6.52,0.348245752135429,0.499167094071532,0.76595,7,1.4,"NBEV Sep 20 2019 7 Call",1
309,"NBR US Equity",0.078394115,0,"NBR",3.2,0.775612606391892,0.869114016458519,0.7973,4,0.45,"NBR Sep 20 2019 4 Call",1
310,"NCR US Equity",0.024151478,0,"NCR",27.7,0.1354232501434,0.163028938313738,0.34011,28,3.83,"NCR Jan 17 2020 28 Call",1
311,"NEM US Equity",0.014664519,0,"NEM",33.46,0.1350008212798,0.164446698414241,0.26977,34,2.82,"NEM Sep 20 2019 34 Call",1
314,"NIO US Equity",0.046236087,0,"NIO",7.44,0.225304381243672,0.356311554526342,0.52862,8,0.9,"NIO Aug 16 2019 8 Call",1
316,"NKTR US Equity",0.09481063,0,"NKTR",42.48,0.554562724092101,0.65225282700682,0.57935,42,8.1,"NKTR Aug 16 2019 42 Call",1
317,"NLSN US Equity",0.0146373585,0,"NLSN",26.3,0.0646142947344243,0.128021060763809,0.33361,27,1.88,"NLSN Aug 16 2019 27 Call",1
319,"NOK US Equity",0.050456733,0,"NOK",6.3,0.194918641411896,0.130347795805396,0.32293,7,0.5,"NOK Jan 17 2020 7 Call",1
321,"NRG US Equity",0.016848823,0,"NRG",42.93,0.0527868312844726,0.112848614855679,0.29225,43,0,"NRG Sep 20 2019 43 Call",1
328,"NVAX US Equity",0.1780002,0,"NVAX",2.13,0.809751490352396,1.26012963712339,1.42175,2.5,1,"NVAX Jan 17 2020 2.5 Call",1
330,"NWL US Equity",NA,0,"NWL",17.23,0.280372825753294,0.240210566836045,0.41219,18,1.75,"NWL Sep 20 2019 18 Call",1
332,"NYCB US Equity",0.02316307,0,"NYCB",12.05,0.0769736136744351,0.0724659353557761,0.21549,15,0.15,"NYCB Jan 17 2020 15 Call",-1
333,"OAS US Equity",0.05010982,0,"OAS",6.16,0.617269843437077,0.509145785674201,0.56624,7,0.62,"OAS Aug 16 2019 7 Call",1
