,Oppenheimer & Co,JASON HELFSTEIN,2nd,10.00095,outperform,2/15/2019
,PERM DENIED,PERM DENIED,2nd,10.00095,buy,2/15/2019
,Guggenheim Securities,ROBERT DRBUL,2nd,10.00095,buy,2/15/2019
,SunTrust Robinson Humphrey,YOUSSEF SQUALI,2nd,10.00095,buy,2/14/2019
,D.A. Davidson & Co,TOM FORTE,2nd,10.00095,buy,2/14/2019
,Credit Suisse,STEPHEN JU,2nd,10.00095,outperform,2/12/2019
,Loop Capital Markets,ANTHONY CHUKUMBA,2nd,10.00095,buy,2/12/2019
,Raymond James,AARON KESSLER,2nd,10.00095,outperform,2/11/2019
,Stifel,SCOTT DEVITT,2nd,10.00095,buy,2/11/2019
,Evercore ISI,ANTHONY DICLEMENTE,2nd,10.00095,outperform,2/9/2019
,Daiwa Securities,SATOSHI TANAKA,2nd,10.00095,buy,2/6/2019
,Barclays,ROSS SANDLER,2nd,10.00095,overweight,2/4/2019
,Canaccord Genuity,MICHAEL GRAHAM,2nd,10.00095,buy,2/3/2019
,Piper Jaffray,MICHAEL OLSON,2nd,10.00095,overweight,2/1/2019
,Cowen,JOHN BLACKLEDGE,2nd,10.00095,outperform,2/1/2019
,PERM DENIED,PERM DENIED,2nd,10.00095,buy,2/1/2019
,Susquehanna Financial,SHYAM PATIL,2nd,10.00095,Positive,2/1/2019
,Mizuho Securities USA Inc,JAMES LEE,2nd,10.00095,buy,2/1/2019
,Atlantic Equities LLP,JAMES CORDWELL,2nd,10.00095,overweight,2/1/2019
,Jefferies,BRENT THILL,2nd,10.00095,buy,2/1/2019
,JMP Securities,RONALD JOSEY,2nd,10.00095,market outperform,2/1/2019
,Morgan Stanley,BRIAN NOWAK,2nd,10.00095,Overwt/In-Line,2/1/2019
,Benchmark Company LLC,DANIEL KURNOS,2nd,10.00095,buy,2/1/2019
,MKM Partners,ROB SANDERSON,2nd,10.00095,buy,2/1/2019
,Wedbush,MICHAEL PACHTER,2nd,10.00095,outperform,2/1/2019
,PERM DENIED,PERM DENIED,2nd,10.00095,buy,2/1/2019
